MeltWater_calcfromF,MeltWater_calcfromCl,sample
6.026601274272927,7.1032072258316665,Ap1
4.077329517658221,3.0415434445847636,Ap1
4.338133305083267,3.3885629632844423,Ap1
4.982371138163902,4.425579271087003,Ap1
5.288723852025071,5.042458312228536,Ap1
4.288610227066694,3.3199601608383817,Ap1
4.838877406661968,4.1678962435241935,Ap1
3.9622675481503977,2.8988715842976895,Ap1
4.7508573605793964,4.0182412017171005,Ap1
4.423314590180355,3.509774017542762,Ap1
3.695863641411809,2.5899434825301566,Ap1
4.7806456691455015,4.068211959122733,Ap1
4.042496803754904,2.997721003958831,Ap1
5.394093749656469,5.279630676917663,Ap1
4.49993455380444,3.6224503424285612,Ap1
5.861556081751824,6.544181230991955,Ap1
3.724680288824974,2.6220176956589967,Ap1
5.384934305476592,5.25843528721059,Ap1
3.8663336772766668,2.7843272110851713,Ap1
3.233951012123438,2.1145439495339846,Ap1
3.7308591651740346,2.6289355410085484,Ap1
2.98721784501614,1.8868071643295137,Ap1
3.465794096078962,2.3444730523079294,Ap1
5.183344242542443,4.818889823194541,Ap1
5.798849908821934,6.349983501127521,Ap1
5.979212326613954,6.934947812390682,Ap1
3.802140660847893,2.709797329594007,Ap1
6.220210051977433,7.869189761909405,Ap1
4.977419264993753,4.416385089361747,Ap1
6.4464507166850105,8.977792081550561,Ap1
4.207355807978656,3.2102313219735645,Ap1
4.603704869116465,3.7809276316337037,Ap1
4.933966643656147,4.336656591479776,Ap1
5.29814403154036,5.06308567106015,Ap1
5.122329102320441,4.695134217166361,Ap1
5.339930648342895,5.1559241050209685,Ap1
3.6958807695434173,2.589962455180053,Ap1
3.7826188805610284,2.6874564829080305,Ap1
3.272574567433748,2.1517237787580767,Ap1
4.790300309956006,4.084554445378723,Ap1
4.126709308638745,3.104640140708936,Ap1
5.397465521866207,5.287461939746003,Ap1
4.812374038327563,4.122192867594813,Ap1
3.070768977742023,1.9620965612235461,Ap1
6.0022735915977545,7.0159931493666186,Ap1
4.73151249674629,3.986149657714375,Ap1
6.142522314447791,7.54524707452103,Ap1
3.19448485926209,2.0769959436920638,Ap1
5.045618409729114,4.54502502758318,Ap1
5.207445171121203,4.868892832035422,Ap1
5.180607652444636,4.813252960978975,Ap1
3.6366118809908956,2.5249530045834625,Ap1
4.364855423102849,3.4261428516887245,Ap1
4.862930013136248,4.209866679898598,Ap1
4.771811946100665,4.053322252495565,Ap1
4.490247690134511,3.608007145427018,Ap1
4.912685862801488,4.298219804269729,Ap1
3.6931220311621464,2.5869080277529806,Ap1
4.211848723548544,3.216209445340724,Ap1
5.2652772271388955,4.991587184873602,Ap1
4.20813705129878,3.211270081141305,Ap1
2.891665770986413,1.8028727666897302,Ap1
3.1317977834679147,2.018254053321009,Ap1
3.321041266480639,2.1989988789380823,Ap1
4.419260155460194,3.5039097221072097,Ap1
3.975753914474912,2.9152888988823995,Ap1
3.2120372492535485,2.093640540493746,Ap1
4.4445088865378475,3.540587609374625,Ap1
5.922760038841519,6.742899527521749,Ap1
3.986694634637391,2.9286657454480873,Ap1
3.573048127268429,2.4566273493727997,Ap1
6.080487999567877,7.303016816017692,Ap1
5.551097566701813,5.661776618904321,Ap1
5.206719207713966,4.867377136777405,Ap1
5.884798493688779,6.618534455544271,Ap1
4.908458969762196,4.290632101927935,Ap1
4.869521454363519,4.221451613106699,Ap1
4.413461440145129,3.4955392997345456,Ap1
3.73113053954341,2.629239700609149,Ap1
3.572500608735147,2.4560449386933403,Ap1
4.732549635633474,3.987863085986519,Ap1
3.982333828991101,2.923327638638954,Ap1
3.9566381067496756,2.8920420900558885,Ap1
3.3140246946483036,2.1921114936458737,Ap1
5.2212019723255265,4.897727915477969,Ap1
5.2213932655092545,4.8981303992182825,Ap1
3.0780309857389403,1.9687266591555916,Ap1
5.097260679523982,4.645425992438147,Ap1
3.956898473524808,2.8923576578883408,Ap1
3.101510444742757,1.990259145979837,Ap1
3.953532685591906,2.8882805377506573,Ap1
5.4362909738492,5.378776046908853,Ap1
4.142502486579344,3.1250664328068583,Ap1
4.581268009017714,3.746066942260918,Ap1
3.9741431655251893,2.913323920863637,Ap1
3.1548852164766674,2.039761933607082,Ap1
